tweet_id,text,username,datetime,tweet_link,likes,comments,retweets,photos,hashtags,sentiment
1455593485566947333,Yandaş kanalları izle. Tek sermayeleri bu zaten. Bu arada model uçak ve kumandalarından alırsan tenis topu falan atarsın seni geliştirir.,@mcaksan2688,2021-11-02 20:51:45,https://x.com/mcaksan2688/status/1455593485566947333,0,0,0,,,Negatif
1665797512094011393,Hak sahibimi kendisi sözleşmesi tapusu var mı?,@OzlemHanelci,2023-06-05 22:07:30,https://x.com/OzlemHanelci/status/1665797512094011393,6,6,6,,,Nötr
1368629063217254405,O zaman istanbul sözleşmesi kadem mor beyinler savaş açar...,@HamzaAs23,2021-03-07 21:26:11,https://x.com/HamzaAs23/status/1368629063217254405,0,0,0,,,Nötr
1397492471161139202,"İstanbul Sözleşmesi Bizimdir!
Vazgeçmiyoruz!

1 Haziran Salı günü istanbul sözleşmesinden vazgeçmediğimizi bildirmek için eylemdeyiz.
17.00'da Aydın Kent Meydanı sessiz eylem
18.00'da Aydın Kent Meydanı Basın açıklaması  
Bütün hak savunucularını 1 Haziranda alana çağırıyoruz!",@ayd_sma,2021-05-26 12:59:03,https://x.com/ayd_sma/status/1397492471161139202,3,0,1,https://pbs.twimg.com/media/E2Tj_wPWQAIgukl?format=jpg&name=small,,Pozitif
1634514861240492032,AKPliler istanbul sözleşmesi kaldırılırken bizim 6284 sayılı kanunumuz var sözleşmeye gerek yok demişlerdi. Eğer 6284 kalkacak olursa bu sözleri söyleyen tüm akplilerin istifa etmesini istiyorum.,@neogaymyback,2023-03-11 14:21:25,https://x.com/neogaymyback/status/1634514861240492032,12,0,0,,,Negatif
1358454207599284232,"şehzadem 
@ORHANOSMANOGLU
  o dediğiniz artık bu ülkede geçerli değil avrupadan 2014 getirdikleri ecnebi sözleşmesi olan istanbul sözleşmesi ve 6284 yasasından  destek alan feminist kadın dernekleri ve lgbt eliyle o kaleler paramparça edilmiş yıkılmış viraneye çevirilmiştir üzgünüm",@kar_maymunu,2021-02-07 19:34:56,https://x.com/kar_maymunu/status/1358454207599284232,0,0,0,,,Negatif
1733815761494269967,Mehmet Şimşek bakan oldu ya. Hem Mahfinin de yemişim kariyetini. Önce faiz arttırmak lazım diyosun sonra da faiz artırmakla olmaz istanbul sözleşmesi lazın diyosun. Mantıklı bi tane önerisi yok. Napayım ben öyle adamın kariyerini?,@mustesarsamim,2023-12-10 14:47:44,https://x.com/mustesarsamim/status/1733815761494269967,3,1,0,,,Negatif
1584954661865684997,"Madem batı ve sömürgesine karşıydınız neden istanbul sözleşmesi ve 6284 gibi aile yapısını tahrip eden, asimile eden yasalara karşı direndiniz!? Tepki verenleri de itham ettiniz. Madem derdiniz batı ve ucube yasaları neden 6284 için iki kelam etmiyorsunuz !",@antidot90,2022-10-25 20:06:53,https://x.com/antidot90/status/1584954661865684997,0,0,0,,,Negatif
1411205259972784128,"#nediyelim elmalı’daki istismarın sorumluları tahliye ediliyor, üzerine istanbul sözleşmesi’nden çekiliyoruz, çekilmek isteyenlerin eline ne geçti? Bu sözleşmeden çekilmemizi isteyenler kendi ailelerini hiç düşünmediler mi?",@sinansozmen,2021-07-03 09:08:47,https://x.com/sinansozmen/status/1411205259972784128,0,0,0,,,Negatif
1212715121174335494,Kadına şiddet cinayet pkk yı kınama  birer kılıf las tesis küresel şeytanları ülkeleri bölmek için farklı dil kalıplarıyla  böyle gerizekalı  sidikli karıları kullanırlar bunların öğlen yemeğinde karnını doyur yeter sünepe  gelir bunlar,@alpiir,2020-01-02 15:39:50,https://x.com/alpiir/status/1212715121174335494,0,0,0,https://abs-0.twimg.com/emoji/v2/svg/2699.svg;https://pbs.twimg.com/ext_tw_video_thumb/1209771902832697344/pu/img/mfAeKdjlFFfFqr7s.jpg,,Negatif
1373416515081502720,niye seninleyiz erdoğan diye hashtag açmışlar ki istanbul sözleşmesi uygulanmayınca ona bir şey olmuyor?,@echofdistantime,2021-03-21 02:29:48,https://x.com/echofdistantime/status/1373416515081502720,3,1,0,,,Nötr
1463752405355479043,Dokunmayın ablama istanbul sözleşmesi modunda kalmış.:),@SEFR81087271,2021-11-25 09:12:23,https://x.com/SEFR81087271/status/1463752405355479043,0,0,0,,,Nötr
1373059621234089989,Geceyarısı kararnameyle istanbul sözleşmesi fes edildi yazık.,@DenizUs41387476,2021-03-20 02:51:38,https://x.com/DenizUs41387476/status/1373059621234089989,0,0,0,,,Negatif
1655049403135148033,Yaaa neye şaşırıon lgbt yi yasal kılan istanbul sözleşmesi kılıçtaroğlu fahri lgbt ilan edildi ona şaşırmıon buna şaşırıon,@SOzicel,2023-05-07 06:18:21,https://x.com/SOzicel/status/1655049403135148033,0,0,0,,,Nötr
1634171170428788738,"Milli görüşçü,islamcıyız diye geçinen sen ve yanında durduğun lgbt,istanbul sözleşmesi destekçisi ortakların :d",@emreinan2023,2023-03-10 15:35:43,https://x.com/emreinan2023/status/1634171170428788738,0,0,0,https://abs-0.twimg.com/emoji/v2/svg/1f1f9-1f1f7.svg,,Nötr
1652236565521760259,İslami değişim olmadığı konusunda katılıyorum istanbul sözleşmesi ve 6284 e karşı yıllardır muhalif olan ve karşı duran birisiyim . Bize dayatılan medeni kanun ne dinimize nede kültürel yaşantımıza uymuyor bunu anlatmak istedim,@Murat39920741,2023-04-29 12:01:08,https://x.com/Murat39920741/status/1652236565521760259,2,0,0,,,Negatif
